TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-04,2026-09-04,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15186.73,15270.00,15155.02,15233.75,15190.00,15131.45,,15240.98,,,40,609591.61,12,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15242.00,15300.00,15235.00,15261.04,15261.04,15176.00,,15261.04,,,41,625666.59,14,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15211.01,15299.00,15211.01,15295.42,15299.00,15136.47,,15293.80,,,459,7008381.44,51,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15175.00,15299.99,15175.00,15231.01,15231.01,15135.00,,15256.97,,,73,1116186.40,8,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,15205.00,15300.00,15202.00,15293.80,15300.00,15120.00,,15293.80,,,120,1830103.70,30,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15303.20,15350.01,15152.00,15246.68,15299.00,15352.09,,15249.35,,,221,3372416.69,71,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15250.00,15344.00,15250.00,15300.00,15300.00,15158.00,,15300.00,,,169,2584128.42,20,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,7654,IN0020180389,SGBDEC26,GB,,,,,2.50%GOLDBONDS2026SR-IV,15200.00,15275.00,15175.00,15175.00,15175.00,15150.00,,15240.00,,,9,136821.99,7,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,15299.97,15299.97,15298.99,15298.99,15298.99,14950.00,,15298.99,,,4,61196.94,3,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,15151.00,15288.98,15151.00,15241.31,15250.00,15105.26,,15225.09,,,57,867394.19,28,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,13209,IN0020190115,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,15350.01,15350.01,15350.01,15350.01,15350.01,15251.00,,15350.01,,,27,414450.27,1,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,8308,IN0020180462,SGBJAN27,GB,,,,,2.50%GOLDBONDS2027SR-V,15105.11,15249.00,15105.11,15248.00,15248.00,14950.00,,15221.98,,,9,136664.44,4,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,13981,IN0020190370,SGBOCT27,GB,,,,,2.50%GOLDBONDS2027SR-V,15250.00,15300.00,15250.00,15300.00,15300.00,14962.00,,15300.00,,,6,91600.00,3,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,8766,IN0020180561,SGBFEB27,GB,,,,,2.50%GOLDBONDS2027SR-VI,15200.00,15200.00,15200.00,15200.00,15200.00,14849.00,,15200.00,,,4,60800.00,4,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,15432,IN0020190461,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,15125.11,15270.00,15125.11,15225.00,15225.00,15150.00,,15225.00,,,18,273898.33,9,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,18862,IN0020200062,SGBAPR28I,GB,,,,,2.50%GOLDBONDS2028SR-I,15275.00,15350.00,15251.00,15323.99,15301.00,15180.84,,15321.68,,,61,933510.14,24,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,18972,IN0020200088,SGBMAY28,GB,,,,,2.50%GOLDBONDS2028SR-II,15259.99,15280.00,15200.04,15260.00,15260.00,15123.33,,15264.38,,,59,900350.04,12,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,22242,IN0020200146,SGBJUL28IV,GB,,,,,2.50%GOLDBONDS2028SR-IV,15155.01,15279.50,15155.01,15249.78,15250.00,15116.01,,15249.78,,,253,3847953.81,53,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,22385,IN0020200161,SGBAUG28V,GB,,,,,2.50%GOLDBONDS2028SR-V,15152.00,15279.00,15136.57,15228.56,15245.00,15112.39,,15230.89,,,530,8063028.67,133,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,149,IN0020200195,SGBSEP28VI,GB,,,,,2.50%GOLDBONDS2028SR-VI,15261.89,15300.02,15200.00,15300.00,15300.00,15159.80,,15303.95,,,384,5860734.16,88,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,834,IN0020200203,SGBOC28VII,GB,,,,,2.50%GOLDBONDS2028SR-VII,15250.02,15340.00,15250.02,15320.20,15340.00,15185.00,,15332.95,,,123,1879233.11,29,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,17110,IN0020190537,SGBJ28VIII,GB,,,,,2.50%GOLDBONDS2028SR-VIII,15299.99,15299.99,15299.99,15299.99,15299.99,15099.90,,15299.99,,,1,15299.99,1,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,18451,IN0020190552,SGBMAR28X,GB,,,,,2.50%GOLDBONDS2028SR-X,15274.17,15300.57,15255.01,15257.00,15257.00,15160.00,,15257.00,,,44,672225.75,21,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,5113,IN0020210111,SGBJUL29IV,GB,,,,,2.50%GOLDBONDS2029SR-IV,15170.00,15300.00,15170.00,15264.25,15250.00,15127.94,,15264.25,,,120,1831898.23,24,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,1920,IN0020200377,SGBJAN29IX,GB,,,,,2.50%GOLDBONDS2029SR-IX,15185.50,15266.55,15155.11,15227.50,15250.00,15111.99,,15224.06,,,53,807268.84,19,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,5455,IN0020210129,SGBAUG29V,GB,,,,,2.50%GOLDBONDS2029SR-V,15255.55,15350.00,15255.55,15313.80,15270.00,15237.20,,15300.78,,,51,780777.10,23,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,7098,IN0020210228,SGBD29VIII,GB,,,,,2.50%GOLDBONDS2029SR-VIII,15260.00,15379.99,15201.00,15345.00,15340.00,15239.92,,15337.64,,,104,1589686.28,33,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,2003,IN0020200385,SGBJAN29X,GB,,,,,2.50%GOLDBONDS2029SR-X,15200.51,15250.00,15198.14,15245.00,15204.00,15108.22,,15245.00,,,267,4070604.30,22,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,2200,IN0020200393,SGBFEB29XI,GB,,,,,2.50%GOLDBONDS2029SR-XI,15200.00,15345.00,15155.01,15241.55,15250.00,15093.50,,15227.03,,,193,2940782.63,59,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,2810,IN0020200427,SGBMR29XII,GB,,,,,2.50%GOLDBONDS2029SR-XII,15261.27,15325.00,15211.01,15244.60,15250.00,15142.50,,15244.60,,,148,2259480.06,52,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,10232,IN0020220045,SGBJUN30,GB,,,,,2.50%GOLDBONDS2030SR-I,15511.00,15511.00,15400.00,15449.00,15449.00,15287.44,,15442.58,,,49,757364.96,10,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,11192,IN0020220078,SGBAUG30,GB,,,,,2.50%GOLDBONDS2030SR-II,15308.01,15575.00,15308.01,15470.42,15499.99,15281.42,,15470.42,,,268,4142981.84,75,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,13642,IN0020220110,SGBDE30III,GB,,,,,2.50%GOLDBONDS2030SR-III,15365.01,15450.00,15365.01,15413.38,15410.00,15362.96,,15413.38,,,180,2776843.47,38,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,7879,IN0020210236,SGBJAN30IX,GB,,,,,2.50%GOLDBONDS2030SR-IX,15340.00,15379.02,15211.00,15242.20,15280.00,15160.71,,15242.36,,,224,3423542.62,58,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,8401,IN0020210319,SGBMAR30X,GB,,,,,2.50%GOLDBONDS2030SR-X,15350.00,15450.00,15300.00,15425.00,15425.00,15318.46,,15425.00,,,116,1781943.44,27,F1,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,17202,IN0020230069,SGBJUN31I,GB,,,,,2.50%GOLDBONDS2031SR-I,15500.00,15535.00,15450.05,15505.82,15480.00,15379.14,,15500.58,,,145,2246085.48,53,F1,1,,,,,
